12:55:12:484 [ALWAYS]	GUDE Logging Started
12:55:12:485 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:55:12:485 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:55:12:485 [ERROR]	Initialize resume cache pointer failure
12:55:12:485 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
12:55:12:485 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
12:55:19:373 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
12:55:19:373 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:55:19:373 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:55:19:373 [ERROR]	Initialize resume cache pointer failure
12:55:19:374 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
12:55:19:374 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
